PLAYER_SK,Player_Id,Player_Name,Country_Name
362,363,KW Richardson,Australia
363,364,MM Sharma,India
364,365,UA Birla,India
365,366,Parvez Rasool,India
366,367,Sandeep Sharma,India
367,368,S Kaul,India
368,369,Sachin Baby,India
369,370,PV Tambe,India
370,371,NM Coulter-Nile,Australia
371,372,CJ Anderson,New Zealand
372,373,NJ Maddinson,Australia
373,374,AR Patel,India
374,375,JJ Bumrah,India
375,376,JDS Neesham,New Zealand
376,377,TG Southee,New Zealand
377,378,MA Starc,Australia
378,379,BR Dunk,Australia
379,380,RR Rossouw,South Africa
380,381,Shivam Sharma,India
381,382,YS Chahal,India
382,383,LMP Simmons,West Indies
383,384,VH Zol,India
384,385,BCJ Cutting,Australia
385,386,Imran Tahir,India
386,387,BE Hendricks,South Africa
387,388,S Gopal,India
388,389,M de Lange,South Africa
389,390,R Tewatia,India
390,391,JO Holder,West Indies
391,392,Karanveer Singh,India
392,393,SS Iyer,India
393,394,DJ Hooda,India
394,395,Anureet Singh,India
395,396,KS Williamson,New Zealand
396,397,SA Abbott,New Zealand
397,398,J Suchith,India
398,399,RG More,India
399,400,HH Pandya,India
400,401,D Wiese,South Africa
401,402,SN Khan,India
402,403,MJ McClenaghan,New Zealand
403,404,DJ Muthuswami,India
404,405,PJ Cummins,Australia
405,406,SN Thakur,India
406,407,JC Buttler,England
407,408,CR Brathwaite,West Indies
408,409,MP Stoinis,Australia
409,410,Ishan Kishan,India
410,411,C Munro,New Zealand
411,412,P Sahu,India
412,413,KH Pandya,India
413,414,AD Nath,India
414,415,MJ Guptill,New Zealand
415,416,KJ Abbott,South Africa
416,417,TM Head,Australia
417,418,M Ashwin,India
418,419,NS Naik,India
419,420,RR Pant,India
420,421,SW Billings,England
421,422,KC Cariappa,India
422,423,PSP Handscomb,Australia
423,424,Swapnil Singh,India
424,425,J Yadav,India
425,426,UT Khawaja,Australia
426,427,HM Amla,South Africa
427,428,F Behardien,South Africa
428,429,BB Sran,India
429,430,A Zampa,Australia
430,431,N Rana,India
431,432,S Kaushik,India
432,433,ER Dwivedi,India
433,434,CJ Jordan,England
434,435,P Amarnath,India
435,436,B Geeves,Australia
436,437,Gagandeep Singh,India
437,438,A Nel,South Africa
438,439,AM Salvi,India
439,440,RR Bose,India
440,441,SS Sarkar,India
441,442,RA Shaikh,India
442,443,C Ganapathy,India
443,444,MB Parmar,India
444,445,AA Kazi,India
445,446,Anand Rajan,India
446,447,P Prasanth,India
447,448,SS Mundhe,India
448,449,RW Price,Zimbabwea
449,450,TP Sudhindra,India
450,451,BW Hilfenhaus,Australia
451,452,S Badree,West Indies
452,453,P Suyal,India
453,454,MG Neser,Australia
454,455,V Shankar,India
455,456,K Santokie,West Indies
456,457,JW Hastings,Australia
457,458,TA Boult,New Zealand
458,459,GS Sandhu,Australia
459,460,Mustafizur Rahman,Bangladesh
460,461,AF Milne,New Zealand
461,462,Kuldeep Yadav,India
462,463,T Shamsi,South Africa
463,464,SM Boland,Australia
464,465,DL Chahar,India
465,466,P Dharmani,India
466,467,RV Pawar,India
467,468,KH Devdhar,India
468,469,T Mishra,India
469,470,A Choudhary,India
470,471,AJ Tye,Australia
471,472,Ankit Soni,India
472,473,AR Bawne,India
473,474,Avesh Khan,India
474,475,B Stanlake,Australia
475,476,BA Stokes,England
476,477,Basil Thampi,India
477,478,C de Grandhomme,New Zealand
478,479,CR Woakes,England
479,480,DM Bravo,West Indies
480,481,JJ Roy,England
481,482,K Rabada,South Africa
482,483,LH Ferguson,New Zealand
483,484,MJ Henry,New Zealand
484,485,Mohammad Nabi,Afghanistan
485,486,Mohammed Siraj,India
486,487,NB Singh,India
487,488,RA Tripathi,India
488,489,Rashid Khan,Afghanistan
489,490,RD Chahar,India
490,491,SP Jackson,India
491,492,SS Agarwal,India
492,493,T Natarajan,India
493,494,Tejas Baroka,India
494,495,TS Mills,England
495,496,Vishnu Vinod,India
496,497,Washington Sundar,India
